項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
244,錦福興業有限公司,營造業(冷凍、空調及管道工程業),物體倒塌、崩塌,1,千旺海產有限公司,冷凍庫通風牆鐵架工程,冷凍庫廠房內,宜蘭縣礁溪鄉瑪僯路26-12號,勞動部職業安全衛生署北區職業安全衛生中心,109/02/27,
245,德商雷曼特股份有限公司,製造業(產業用機械設備維修及安裝業),物體飛落,1,,陸用麻雀飛彈發射架及SKYSIM模擬器維護,空軍第一後勤指揮部,-,勞動部職業安全衛生署南區職業安全衛生中心,109/02/26,
246,聯鋼營造工程股份有限公司,營造業(其他土木工程業),墜落、滾落,1,中龍鋼鐵股份有限公司,隔牆土木工程,中間牆爬模下架體施工架工作臺,臺中市龍井區龍昌路100號,勞動部職業安全衛生署中區職業安全衛生中心,109/02/24,
247,蕭○○(即郁鎧工程行),營造業(其他土木工程業),物體倒塌、崩塌,2,黃○○,黃○○「涵管汰換遷移工程」,桃園市桃園區大有段（0177）838地號,桃園市桃園區大有段（0177）838地號,桃園市政府勞動檢查處,109/02/24,
248,日富營造股份有限公司,營造業(建築工程業),物體倒塌、崩塌,1,桃園市政府新建工程處,桃園市政府新建工程處永安海螺文化體驗園區工程,新屋區崁頭段崁頭厝小段1106-1地號,新屋區崁頭段崁頭厝小段1106-1地號,桃園市政府勞動檢查處,109/02/24,
249,一順捲門有限公司,批發及零售業(加油及加氣站業),墜落、滾落,1,,頂樓採光板更新工程,新北市新莊區思源路68號,-,新北市政府勞動檢查處,109/02/21,
250,陳OO,營造業(其他專門營造業),物體飛落,1,陳OO,陳OO民宅整修工程,高雄市新興區金門街OO號,-,高雄市政府勞工局勞動檢查處,109/02/21,
251,昱陽工業股份有限公司,製造業(其他塑膠製品製造業),墜落、滾落,1,,-,昱陽工業股份有限公司廠內,-,勞動部職業安全衛生署中區職業安全衛生中心,109/02/19,
252,路仕達營造工程有限公司,營造業(建築工程業),墜落、滾落,1,普飛特建設有限公司,晨曦苑五期6戶新建工程,本工程A2戶客廳處,嘉義市湖子內段新民小段71、71-6、71-7、71-8、71-9地號,勞動部職業安全衛生署南區職業安全衛生中心,109/02/19,
253,光陞工程有限公司,營造業(冷凍、空調及管道工程業),物體倒塌、崩塌,1,,,新竹縣竹東鎮東峰路456巷內產業道路旁,-,勞動部職業安全衛生署北區職業安全衛生中心,109/02/17,
254,國城營造有限公司,營造業(建築工程業),墜落、滾落,1,合遠建設股份有限公司,合遠建設桃園市龜山區善捷段B區建築物結構體工程,桃園市龜山區文化二路252巷與華亞三路交叉口旁之工地,桃園市龜山區文化二路252巷與華亞三路交叉口旁之工地,桃園市政府勞動檢查處,109/02/17,
255,豐興鋼鐵股份有限公司,製造業(鋼鐵鑄造業),與高溫、低溫之接觸,1,-,-,廠區內南側,-,臺中市勞動檢查處,109/02/17,
256,桃園紙廠股份有限公司,製造業(瓦楞紙板及紙容器製造業),物體倒塌、崩塌,1,,,桃園市蘆竹區海湖北路309巷89號,桃園市蘆竹區海湖北路309巷89號,桃園市政府勞動檢查處,109/02/15,
257,詳益營造工程股份有限公司,營造業(建築工程業),墜落、滾落,1,顏OO,顏OO住宅新建工程,1樓東南側(2樓陽臺正下方),清水區南社路與鰲峰路口,勞動部職業安全衛生署中區職業安全衛生中心,109/02/13,
258,劉○○,營造業(其他專門營造業),墜落、滾落,1,培豐科技股份有限公司,硝磷工場建裝工程,「硝磷工場建裝工程」工地6 ?電梯機房外牆旁,臺中市梧棲區南堤二路2段100號旁,勞動部職業安全衛生署中區職業安全衛生中心,109/02/08,
259,郁鴻工程行,營造業(建築工程業),墜落、滾落,1,常琪鋁業股份有限公司,常琪鋁業廠房新建工程,常琪鋁業廠房新建工程 A 棟處,-,臺南市職安健康處,109/02/07,
260,陳○○（即立安工程行）,營造業(建築工程業),墜落、滾落,1,展鴻企業股份有限公司,,展鴻企業股份有限公司廠房屋頂,高雄市橋頭區鹽南路31號1樓,高雄市政府勞工局勞動檢查處,109/02/07,
261,合軒營造有限公司,營造業(建築工程業),墜落、滾落,1,太極地產事業有限公司,太極地產事業有限公司住宅新建工程(含雜項工程),A10戶連棟西側外牆第5層施工架工作臺,花蓮縣吉安鄉廣賢一街99巷2號旁,勞動部職業安全衛生署北區職業安全衛生中心,109/02/06,
262,天台砂石股份有限公司,製造業(水泥製造業),物體倒塌、崩塌,1,-,-,天台砂石股份有限公司廠場西側砂石儲槽，編號4之粗砂儲槽,-,臺中市勞動檢查處,109/02/06,
263,品興營造股份有限公司,營造業(其他專門營造業),墜落、滾落,1,華固建設股份有限公司,(105建148)碧湖天大樓新建工程,臺北市內湖區陽光街68巷115弄,臺北市內湖區陽光街68巷115弄,臺北市勞動檢查處,109/02/05,
264,遠騏企業有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,泰安電機廠股份有限公司,泰安電機廠股份有限公司廠房新建工程(水電工程),高雄市仁武區鳳仁路277號旁,高雄市仁武區鳳仁路277號旁,高雄市政府勞工局勞動檢查處,109/02/03,
265,城梅工程行,營造業(建築工程業),感電,1,林OO,外牆清洗,永康區環工路77號旁產業道路,-,臺南市職安健康處,109/01/23,
266,慶昌營造股份有限公司,營造業(其他土木工程業),墜落、滾落,1,全聯建設開發有限公司,富邑新城,高雄市仁武區福德街與八德西路口,-,高雄市政府勞工局勞動檢查處,109/01/18,
267,自營作業者潘OO,運輸及倉儲業(其他陸上運輸業),墜落、滾落,1,,,桃園市平鎮區新富五街91號對面馬路邊,桃園市平鎮區新富五街91號對面馬路邊,桃園市政府勞動檢查處,109/01/17,
268,裕鑫興業有限公司,營造業(建築工程業),墜落、滾落,1,劉○○,劉○○農業設施倉庫工程(鋼構工程),屋頂,-,勞動部職業安全衛生署中區職業安全衛生中心,109/01/13,
269,-,運輸及倉儲業(汽車貨運業),物體飛落,1,杉成木材行,-,-,-,臺中市勞動檢查處,109/01/12,
270,張OO,營造業(其他專門營造業),其他交通事故,1,劉OO,臺中市東勢區大茅埔段農路工程,臺中市東勢區中埤產業道路(中46)5K附近農路工地,-,勞動部職業安全衛生署中區職業安全衛生中心,109/01/09,
271,矽品精密工業股份有限公司中科分公司,製造業(半導體封裝及測試業),被夾、被捲,1,,,C棟3樓上片站,臺中市大雅區科雅路19號,中部科學園區管理局,109/01/09,
272,久舜營造股份有限公司,營造業(建築工程業),墜落、滾落,1,炎洲股份有限公司,林口力行段旺洲逸品集合住宅新建工程,地梁旁筏式基礎模板組立作業場所,林口區文化三路二段與吉祥路口,勞動部職業安全衛生署北區職業安全衛生中心,109/01/06,
273,立達鋼鐵股份有限公司湖口三廠,製造業(未分類其他金屬製品製造業),物體倒塌、崩塌,1,,,新竹縣湖口鄉光復路22號,-,勞動部職業安全衛生署北區職業安全衛生中心,109/01/06,
274,偉塵科技工程股份有限公司,營造業(機電、電信及電路設備安裝業),被夾、被捲,1,世新大學,承攬世新大學管理學院升降機保養之事業單位偉塵科技工程股份有限公司所僱勞工郭oo發生被夾致死職業災害,世新大學管理學院2號電梯,臺北市文山區木柵路一段111號,臺北市勞動檢查處,109/01/06,
